Issue key,Summary,Description,Status,Priority,Severity,Component/s,Reporter,Assignee,Created,Resolved,Resolution,Labels,Issue Type,_true_label
PROJ-1080,Would prefer a different date picker component,Saw this on my personal device. Not sure if it's related to my setup or the application.,Open,Minor,Minor,User Management,frank.miller,,2025-01-25T22:00:00,,,,Bug,invalid
PROJ-1072,Would prefer a different date picker component,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,Closed,Trivial,Minor,Payment,bob.smith,,2025-01-09T15:00:00,,,question,Bug,invalid
PROJ-1009,Chart tooltips show wrong values on hover,"Steps to reproduce:
1. Navigate to Settings
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Open,Minor,Critical,Settings,bob.smith,eve.davis,2025-01-09T04:00:00,2025-02-12T00:00:00,Fixed,"regression,backend",Bug,valid
PROJ-1084,Login page background image takes too long to load on hotel wifi,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,Open,Minor,Trivial,User Management,dave.brown,,2025-01-23T09:00:00,,,question,Bug,invalid
PROJ-1093,Help tooltip uses technical jargon unfamiliar to new users,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,Open,Minor,Trivial,Notifications,eve.davis,,2025-01-14T20:00:00,,,needs-triage,Bug,invalid
PROJ-1032,Saved search query does not URL-encode special characters,"Found during regression testing of Notifications.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Minor,Critical,Notifications,alice.johnson,frank.miller,2025-01-14T16:00:00,2025-02-08T00:00:00,Won't Fix,"regression,critical",Bug,valid
PROJ-1014,Background job scheduler skips runs after server clock adjustment,"Steps to reproduce:
1. Navigate to Notifications
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",In Progress,Major,Trivial,Notifications,dave.brown,bob.smith,2025-01-18T05:00:00,,Fixed,regression,Bug,valid
PROJ-1116,Notification preferences reset when password change,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Search
3. Trigger the issue

This blocks QA testing for the current sprint.

(Similar issue observed independently)",Resolved,Critical,Major,Search,carol.williams,,2025-01-16T00:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-1031,CSRF token validation fails after session refresh,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Reports
3. Trigger the issue

This blocks QA testing for the current sprint.",Open,Minor,Critical,Reports,eve.davis,eve.davis,2025-01-22T21:00:00,2025-02-01T00:00:00,Won't Fix,"regression,critical",Bug,valid
PROJ-1074,The loading spinner is not centered perfectly,This is more of a suggestion than a bug. The current behavior works but could be improved.,Closed,Minor,Minor,Dashboard,eve.davis,,2025-01-13T00:00:00,,,needs-triage,Bug,invalid
PROJ-1013,Environment variable secrets logged in plain text during startup,"Steps to reproduce:
1. Navigate to Search
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Open,Critical,Trivial,Search,dave.brown,carol.williams,2025-01-18T13:00:00,2025-01-27T00:00:00,Fixed,regression,Bug,valid
PROJ-1079,Login page background image takes too long to load on hotel wifi,This is more of a suggestion than a bug. The current behavior works but could be improved.,Resolved,Minor,Trivial,Notifications,dave.brown,,2025-01-22T01:00:00,,,question,Bug,invalid
PROJ-1048,Dashboard charts not rendering for large datasets,"Found during regression testing of Settings.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Open,Minor,Major,Settings,bob.smith,carol.williams,2025-01-08T18:00:00,,Won't Fix,,Bug,valid
PROJ-1091,Tab order on form skips the middle name field,This is more of a suggestion than a bug. The current behavior works but could be improved.,Open,Trivial,Minor,Search,dave.brown,,2025-01-13T17:00:00,,,,Bug,invalid
PROJ-1098,I think the font size is too small on my monitor,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,Resolved,Minor,Minor,Settings,frank.miller,,2025-01-23T06:00:00,,,,Bug,invalid
PROJ-1111,Autocomplete search shows deleted items,"Found during regression testing of Dashboard.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma

(Similar issue observed independently)",Open,Trivial,Minor,Dashboard,eve.davis,,2025-01-18T11:00:00,,Duplicate,duplicate,Bug,duplicate
